frame_cnt,latitude,longitude,altitude,yaw,pitch,roll,focal_len
349,36.402324,127.421584,85.245,172.3,-29.8,0.0,24.00
350,36.402324,127.421584,85.245,173.6,-29.8,0.0,24.00
351,36.402324,127.421584,85.364,173.6,-29.8,0.0,24.00
352,36.402324,127.421584,85.364,173.6,-29.8,0.0,24.00
353,36.402324,127.421584,85.364,174.9,-29.8,0.0,24.00
354,36.402324,127.421584,85.364,174.9,-29.8,0.0,24.00
355,36.402324,127.421584,85.485,174.9,-29.8,0.0,24.00
356,36.402324,127.421584,85.485,176.2,-29.8,0.0,24.00
357,36.402324,127.421584,85.608,176.2,-29.8,0.0,24.00
358,36.402324,127.421584,85.608,176.2,-29.8,0.0,24.00
359,36.402324,127.421584,85.608,177.6,-29.8,0.0,24.00
360,36.402324,127.421584,85.608,177.6,-29.8,0.0,24.00
361,36.402324,127.421584,85.733,177.6,-29.8,0.0,24.00
362,36.402324,127.421584,85.733,178.8,-29.8,0.0,24.00
363,36.402324,127.421584,85.859,178.8,-29.8,0.0,24.00
364,36.402324,127.421584,85.859,178.8,-29.8,0.0,24.00
365,36.402324,127.421584,85.859,-179.9,-29.8,0.0,24.00
366,36.402324,127.421584,85.980,-179.9,-29.8,0.0,24.00
367,36.402324,127.421584,85.980,-179.9,-29.8,0.0,24.00
368,36.402324,127.421584,85.980,-178.7,-29.8,0.0,24.00
369,36.402324,127.421584,86.113,-178.7,-29.8,0.0,24.00
370,36.402324,127.421584,86.113,-178.7,-29.8,0.0,24.00
371,36.402324,127.421584,86.113,-177.6,-29.8,0.0,24.00
372,36.402324,127.421584,86.239,-177.6,-29.8,0.0,24.00
373,36.402324,127.421584,86.239,-177.6,-29.8,0.0,24.00
374,36.402324,127.421584,86.239,-176.6,-29.8,0.0,24.00
375,36.402324,127.421584,86.381,-176.6,-29.8,0.0,24.00
376,36.402324,127.421584,86.381,-176.6,-29.8,0.0,24.00
377,36.402324,127.421584,86.381,-175.6,-29.8,0.0,24.00
378,36.402324,127.421584,86.518,-175.6,-29.8,0.0,24.00
379,36.402324,127.421584,86.518,-175.6,-29.8,0.0,24.00
380,36.402324,127.421584,86.518,-174.6,-29.8,0.0,24.00
381,36.402324,127.421584,86.650,-174.6,-29.8,0.0,24.00
382,36.402324,127.421584,86.650,-174.6,-29.8,0.0,24.00
383,36.402324,127.421584,86.650,-173.6,-29.8,0.0,24.00
384,36.402324,127.421584,86.798,-173.6,-29.8,0.0,24.00
385,36.402324,127.421584,86.798,-173.6,-29.8,0.0,24.00
386,36.402324,127.421584,86.798,-172.8,-29.8,0.0,24.00
387,36.402324,127.421584,86.798,-172.8,-29.8,0.0,24.00
388,36.402324,127.421584,86.946,-172.8,-29.8,0.0,24.00
389,36.402324,127.421584,86.946,-171.9,-29.8,0.0,24.00
390,36.402324,127.421584,86.946,-171.9,-29.8,0.0,24.00
391,36.402324,127.421584,87.098,-171.9,-29.8,0.0,24.00
392,36.402324,127.421584,87.098,-171.2,-29.8,0.0,24.00
393,36.402324,127.421584,87.236,-171.2,-29.8,0.0,24.00
394,36.402324,127.421584,87.236,-171.2,-29.8,0.0,24.00
395,36.402324,127.421584,87.236,-170.6,-29.8,0.0,24.00
396,36.402324,127.421584,87.399,-170.6,-29.8,0.0,24.00
397,36.402324,127.421584,87.399,-170.6,-29.8,0.0,24.00
398,36.402324,127.421584,87.399,-170.0,-29.8,0.0,24.00
399,36.402324,127.421584,87.575,-170.0,-29.8,0.0,24.00
400,36.402324,127.421584,87.575,-170.0,-29.8,0.0,24.00
401,36.402324,127.421584,87.575,-169.4,-29.8,0.0,24.00
402,36.402324,127.421584,87.758,-169.4,-29.8,0.0,24.00
403,36.402324,127.421584,87.758,-169.4,-29.8,0.0,24.00
404,36.402324,127.421584,87.758,-168.9,-29.8,0.0,24.00
405,36.402324,127.421584,87.961,-168.9,-29.8,0.0,24.00
406,36.402324,127.421584,87.961,-168.9,-29.8,0.0,24.00
407,36.402324,127.421584,87.961,-168.5,-29.8,0.0,24.00
408,36.402324,127.421584,88.172,-168.5,-29.8,0.0,24.00
409,36.402324,127.421584,88.172,-168.5,-29.8,0.0,24.00
410,36.402324,127.421584,88.172,-168.0,-29.8,0.0,24.00
411,36.402324,127.421584,88.386,-168.0,-29.8,0.0,24.00
412,36.402324,127.421584,88.386,-168.0,-29.8,0.0,24.00
413,36.402324,127.421584,88.386,-167.6,-29.8,0.0,24.00
414,36.402324,127.421584,88.386,-167.6,-29.8,0.0,24.00
415,36.402324,127.421584,88.625,-167.6,-29.8,0.0,24.00
416,36.402324,127.421584,88.625,-167.2,-29.8,0.0,24.00
